title	link	displayLink	snippet	formattedUrl	pagemap	mime	fileFormat	cacheId
IN THE COMMONWEALTH COURT OF PENNSYLVANIA JAKE ...	https://www.espn.com/pdf/2014/1112/espn_otl_cormanfiling.pdf	www.espn.com	"Nov 11, 2014 ... Though the NCAA's filing is styled as an “answer,” based on the proposed order, 
the. NCAA is in fact asking for affirmative relief (as opposed to ..."	https://www.espn.com/pdf/2014/1112/espn_otl_cormanfiling.pdf	"{'metatags': [{'moddate': ""D:20141111200453-05'00'"", 'creationdate': ""D:20141111163232-05'00'"", 'creator': 'DocsCorp Pty Ltd (www.docscop.com)', 'author': 'REDACTED', 'subject': 'REDACTED', 'producer': 'Neevia PDFstamp v3.3 (http://neeviaPDF.com)', 'title': 'REDACTED'}]}"	application/pdf	PDF/Adobe Acrobat	pQ4VX1A8mwgJ
NIH	https://www.espn.com/pdf/2016/0107/espn_otlNIHletter.pdf	www.espn.com	"Jan 7, 2016 ... study was originally to have been funded by a $30 million donation from the NFL 
to the NIH, which the NFL described as an ""unrestricted” gift to ..."	https://www.espn.com/pdf/2016/0107/espn_otlNIHletter.pdf	{'metatags': [{'moddate': 'Thu Jan  7 09:47:46 2016', 'creationdate': 'Thu Jan  7 09:47:46 2016'}]}	application/pdf	PDF/Adobe Acrobat	X3CGL9vIN5sJ
Sam Hinkie	https://www.espn.com/pdf/2016/0406/nba_hinkie_redact.pdf	www.espn.com	"Apr 6, 2016 ... I hope this letter finds you well. I have been serving the Sixers at your pleasure 
for the past 34 months. Atul Gawande, a Surgeon at Brigham ..."	https://www.espn.com/pdf/2016/0406/nba_hinkie_redact.pdf	"{'metatags': [{'moddate': ""D:20160406194723-07'00'"", 'creationdate': 'D:20160406220132Z', 'creator': 'Word', 'producer': 'Mac OS X 10.10.5 Quartz PDFContext'}]}"	application/pdf	PDF/Adobe Acrobat	ppOPpUd4Mm8J
League football activities	http://www.espn.com/pdf/2012/1116/otl_may_2000_letter.pdf	www.espn.com	"May 8, 2000 ... Plan if she has become totally disabled to the extent that he is substantially 
prevented from or substantially unable to engage in any occupation ..."	www.espn.com/pdf/2012/1116/otl_may_2000_letter.pdf	{'metatags': [{'moddate': 'Thu Nov 15 07:38:45 2012', 'creator': 'TOSHIBA e-STUDIO455', 'creationdate': 'Thu Nov 15 07:38:24 2012', 'producer': 'Mac OS X 10.6.8 Quartz PDFContext'}]}	application/pdf	PDF/Adobe Acrobat	fehh0Ie7wvgJ
List of 76 postsecondary institutions that have pending Title IX ...	https://www.espn.com/pdf/2014/0818/OCR_Investigations.pdf	www.espn.com	"Jul 22, 2014 ... AK UNIVERSITY OF ALASKA SYSTEM OF HIGHER EDUCATION. 5/5/2014. AZ 
ARIZONA STATE UNIVERSITY. 1/26/2012. CA BUTTE-GLENN ..."	https://www.espn.com/pdf/2014/0818/OCR_Investigations.pdf	"{'metatags': [{'moddate': ""D:20140813082626-04'00'"", 'creationdate': ""D:20140813082626-04'00'"", 'creator': 'Microsoft® Excel® 2010', 'author': 'Authorised User', 'producer': 'Microsoft® Excel® 2010'}]}"	application/pdf	PDF/Adobe Acrobat	61N3CXs5TbIJ
Dear Members of the Board of Trustees: I write to you with great ...	https://www.espn.com/pdf/2012/0723/espn_otl_spanierletter.pdf	www.espn.com	"Jul 23, 2012 ... Dear Members of the Board of Trustees: I write to you with great regret about the 
situation that the entire. University finds itself in following the ..."	https://www.espn.com/pdf/2012/0723/espn_otl_spanierletter.pdf	"{'metatags': [{'moddate': ""D:20120723122958-04'00'"", 'creator': 'Microsoft® Word 2010', 'creationdate': ""D:20120723122958-04'00'"", 'author': 'Don Van Natta', 'producer': 'Microsoft® Word 2010'}]}"	application/pdf	PDF/Adobe Acrobat	JK7Cd5S90QAJ
University of Missouri PD	http://espn.com/pdf/2015/0613/DGB_2012SimpleAssault.pdf	espn.com	"Jun 13, 2015 ... Upon arrival I met with the victim, Marin Hartfield, in the office of the Hall 
Coordinator for South Hall where she was waiting with student staff ..."	espn.com/pdf/2015/0613/DGB_2012SimpleAssault.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRx0e-_UnbD2Ky4qbREaN2U3HTgILhpyy4DgBVK_cc6aUXJA3PROlCg2d37', 'width': '197', 'height': '255'}], 'metatags': [{'moddate': ""D:20150603104205-05'00'"", 'creationdate': ""D:20150603104205-05'00'""}], 'cse_image': [{'src': 'x-raw-image:///651251ddc1e4836b4625cf9e2a9b010c1ff323d2302a2c90ba9793ffc004a196'}]}"	application/pdf	PDF/Adobe Acrobat	lyBbP3hn1Y4J
BCS media guide	http://www.espn.com/i/ncf/bcs/2013BCSGuide.pdf	www.espn.com	"TABLE OF CONTENTS. AFCA Football Coaches' Trophy ...........................................
.IFC. Table of Contents .........................................................................1. BCS Media ..."	www.espn.com/i/ncf/bcs/2013BCSGuide.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRA27W6yxFasNyd-_hOSaVs3Ejqlgop0708lBQg1620Am0SlELa29A5_DgG', 'width': '218', 'height': '231'}], 'metatags': [{'moddate': ""D:20130813064614-05'00'"", 'creator': 'Adobe InDesign CS6 (Windows)', 'creationdate': ""D:20130809091313-04'00'"", 'producer': 'Adobe PDF Library 10.0.1'}], 'cse_image': [{'src': 'x-raw-image:///54d2f28cfba99db3eb61caced7ff55917ccf8907ad3334f4cbce02eb55c1baf7'}]}"	application/pdf	PDF/Adobe Acrobat	
YEAR: 2010 Injured body part Age Gender Description All parts of ...	https://www.espn.com/pdf/2012/0329/espn_otl_trampaccidents.pdf	www.espn.com	"53 YOM-LAC TO CORNER OF EYE WHILE MOVING. TRAMPOLINE & LEG 
CAME OFF @ NEIGHBOR'S DX. HEMATOMA,LAC L PERIORBITAL. Face (
including ..."	https://www.espn.com/pdf/2012/0329/espn_otl_trampaccidents.pdf	"{'metatags': [{'moddate': ""D:20120328151713-05'00'"", 'creationdate': ""D:20120328151618-05'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'producer': 'Acrobat Distiller 9.3.3 (Windows)'}]}"	application/pdf	PDF/Adobe Acrobat	4-mV2j7y4ZkJ
PDF: Tom Brady appeal transcript	https://www.espn.com/pdf/2015/0804/goodell_arbitration.pdf	www.espn.com	"Aug 4, 2015 ... The reason I'm making this point is the. 1 reason we are about to tell you why we 
thing the. 2. Wells report is wrong, we think the Wells report. 3."	https://www.espn.com/pdf/2015/0804/goodell_arbitration.pdf	"{'metatags': [{'moddate': ""D:20150804184200-04'00'"", 'creationdate': ""D:20150803092427-05'00'"", 'creator': 'UnknownApplication', 'producer': 'Artifex Ghostscript 9.06; modified using iText 2.1.7 by 1T3XT', 'title': 'Untitled'}]}"	application/pdf	PDF/Adobe Acrobat	
Adieu Folklore Wild Fit Daily Racing Form	https://www.espn.com/media/horse/2yof.pdf	www.espn.com	"29 5= 3Bel fst 1 /nobr>. :22¨ :45¦ 1:10¦1:43© 膢CJuvFil-G1. 60 6 3¦ 5佑7ª 8戎7扛
Velazquez J R. L119 4.20 65= 11 Folklore119佐Wild Fit119易Original ..."	https://www.espn.com/media/horse/2yof.pdf	{'metatags': [{'moddate': 'D:20060110111213', 'creationdate': 'D:20060110111213', 'creator': 'Neevia Document Converter 4.9.1', 'producer': 'Neevia Document Converter'}]}	application/pdf	PDF/Adobe Acrobat	u7JxX4H_h8MJ
These results are unofficial from the Caldwell (Idaho) Night Rodeo ...	http://www.espn.com/i/prorodeo/Caldwell060818.pdf	www.espn.com	"Bareback Riding: First round and Tour Round qualifiers: 1. (tie) Kelly Timberman,
. Mills, Wyo., on Calgary Stampede's Gorgeous Connie and Will Lowe, Canyon, ..."	www.espn.com/i/prorodeo/Caldwell060818.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrjzfggRycUPStADdrfRNioCa_ynN56ioLH0KqdyP7RLpzNCQ5DReMhdr', 'width': '388', 'height': '130'}], 'metatags': [{'moddate': ""D:20060819104139-06'00'"", 'creationdate': ""D:20060819104139-06'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'ableike', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'title': 'Microsoft Word - Aug. 18 results.doc'}], 'cse_image': [{'src': 'x-raw-image:///3574ac499ece36602a431755dfc90991a920dd62a26ccbeda6cc8b1ea361a9a3'}]}"	application/pdf	PDF/Adobe Acrobat	coVg_MaAnOAJ
Chi	https://www.espn.com/media/horse/sprint_turf.pdf	www.espn.com	"30 5= 9Bel gd 1° :50¦1:14¨ 1:39 1:50© 3咢nkrbkrH-G3. 85 4 4旺5旺7李7卦8按
Santos J A. L116 15.20 66=26 Atlndo116匚ertifiblyCrzy115 ..."	https://www.espn.com/media/horse/sprint_turf.pdf	{'metatags': [{'moddate': 'D:20060110112527', 'creationdate': 'D:20060110112527', 'creator': 'Neevia Document Converter 4.9.1', 'producer': 'Neevia Document Converter'}]}	application/pdf	PDF/Adobe Acrobat	moU0SarC_VkJ
(Colorado Springs, Colo.), July 11-16. Pikes Peak or Bust Rodeo u	http://www.espn.com/i/prorodeo/colosprings060714.pdf	www.espn.com	"Steer wrestling: First round: 1. Gabe Ledoux, 3.1 seconds, $2,209; 2. Ken Lewis, 
3.5,. $1,921; 3. Wade Sumpter, 3.6, $1,633; 4. Tyler Haugen, 3.8, $1,344; 5."	www.espn.com/i/prorodeo/colosprings060714.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrjzfggRycUPStADdrfRNioCa_ynN56ioLH0KqdyP7RLpzNCQ5DReMhdr', 'width': '388', 'height': '130'}], 'metatags': [{'moddate': ""D:20060715092557-06'00'"", 'creationdate': ""D:20060715092557-06'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'ableike', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'title': 'Microsoft Word - July 14 results.doc'}], 'cse_image': [{'src': 'x-raw-image:///3574ac499ece36602a431755dfc90991a920dd62a26ccbeda6cc8b1ea361a9a3'}]}"	application/pdf	PDF/Adobe Acrobat	5d6ud94xjqsJ
Odessa, Texas	http://www.espn.com/i/prorodeo/OdessaRodeo_070112.pdf	www.espn.com	"Steer Wrestling: First round: 1. Justen Nokes, 3.8 seconds, $2,177; 2. (tie) Gabe. 
Ledoux and Matt Reeves, 4.0, $1,751 each; 4. (tie) Kyle Hughes and Cole Edge ..."	www.espn.com/i/prorodeo/OdessaRodeo_070112.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrjzfggRycUPStADdrfRNioCa_ynN56ioLH0KqdyP7RLpzNCQ5DReMhdr', 'width': '388', 'height': '130'}], 'metatags': [{'moddate': ""D:20070113125229-07'00'"", 'creationdate': ""D:20070113125229-07'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'ableike', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'title': 'Microsoft Word - Odessa web results.doc'}], 'cse_image': [{'src': 'x-raw-image:///3574ac499ece36602a431755dfc90991a920dd62a26ccbeda6cc8b1ea361a9a3'}]}"	application/pdf	PDF/Adobe Acrobat	aQQE5QyfVPcJ
These rodeo results are unofficial and this file is a temporary display ...	http://www.espn.com/i/prorodeo/results060417.pdf	www.espn.com	"Apr 17, 2006 ... Grand National Rodeo. San Francisco, Calif., April 7-10, 13-15. All-around 
cowboy: Cody DeMers, bareback and saddle bronc riding, $5,299."	www.espn.com/i/prorodeo/results060417.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrjzfggRycUPStADdrfRNioCa_ynN56ioLH0KqdyP7RLpzNCQ5DReMhdr', 'width': '388', 'height': '130'}], 'metatags': [{'moddate': ""D:20060418091105-05'00'"", 'creationdate': ""D:20060417165949-06'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'ableike', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'title': 'Microsoft Word - April 17 results.doc'}], 'cse_image': [{'src': 'x-raw-image:///3574ac499ece36602a431755dfc90991a920dd62a26ccbeda6cc8b1ea361a9a3'}]}"	application/pdf	PDF/Adobe Acrobat	rqav0jbPlFcJ
These results are unofficial from the San Angelo Stock Show and ...	http://www.espn.com/i/prorodeo/SanAngeloRodeo_070219.pdf	www.espn.com	"Bareback riding: First round leaders: 1. (tie) Ryan Gray and Tyson Thompson, 83 
points; 3. (tie) Dusty LaValley, Zach Dishman, Eric Swenson and Jason Havens ..."	www.espn.com/i/prorodeo/SanAngeloRodeo_070219.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrjzfggRycUPStADdrfRNioCa_ynN56ioLH0KqdyP7RLpzNCQ5DReMhdr', 'width': '388', 'height': '130'}], 'metatags': [{'moddate': ""D:20070221085652-06'00'"", 'creationdate': ""D:20070220222649-07'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'ableike', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'title': 'Microsoft Word - San Angelo.doc'}], 'cse_image': [{'src': 'x-raw-image:///3574ac499ece36602a431755dfc90991a920dd62a26ccbeda6cc8b1ea361a9a3'}]}"	application/pdf	PDF/Adobe Acrobat	uRCKq_jM120J
Powerscourt (GB)	https://www.espn.com/media/horse/turfm.pdf	www.espn.com	"27 5 Tokyo (Jpn) fm 圓LH 2:22 3咼apanCup-G1. 12¤ DominguezRA. 126b 
32.50. Alkaased126 i>Heart's Cry126佑Zenno Rob Roy126 /nobr>. 18."	https://www.espn.com/media/horse/turfm.pdf	{'metatags': [{'moddate': 'D:20060110112150', 'creationdate': 'D:20060110112150', 'creator': 'Neevia Document Converter 4.9.1', 'producer': 'Neevia Document Converter'}]}	application/pdf	PDF/Adobe Acrobat	WlHK5-C2xEEJ
These rodeo results are unofficial and this file is a temporary display ...	http://www.espn.com/i/prorodeo/results070205.pdf	www.espn.com	"Feb 6, 2007 ... Southwestern Exposition and Livestock Show. Fort Worth, Texas, Jan. 19-Feb. 4. 
All-Around Cowboy: Cody DeMers, $3,115 in bareback riding ..."	www.espn.com/i/prorodeo/results070205.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrjzfggRycUPStADdrfRNioCa_ynN56ioLH0KqdyP7RLpzNCQ5DReMhdr', 'width': '388', 'height': '130'}], 'metatags': [{'moddate': ""D:20070206085252-06'00'"", 'creationdate': ""D:20070205164138-07'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'ableike', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'title': 'Microsoft Word - Feb. 4 results.doc'}], 'cse_image': [{'src': 'x-raw-image:///3574ac499ece36602a431755dfc90991a920dd62a26ccbeda6cc8b1ea361a9a3'}]}"	application/pdf	PDF/Adobe Acrobat	3nEIJkFmb-kJ
These results are unofficial from La Fiesta de los Vaqueros in ...	http://www.espn.com/i/prorodeo/TucsonRodeo_070222.pdf	www.espn.com	"Team roping: 1, Turtle Powell, Alpine, Texas/Britt Bockius, Claremore, Okla., 5.5; 
2-3,. David Motes, Tolar, Texas/Matt Kasner, Alvord, Texas/Matt Tyler, Lipan, ..."	www.espn.com/i/prorodeo/TucsonRodeo_070222.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrjzfggRycUPStADdrfRNioCa_ynN56ioLH0KqdyP7RLpzNCQ5DReMhdr', 'width': '388', 'height': '130'}], 'metatags': [{'moddate': ""D:20070223085145-06'00'"", 'creationdate': ""D:20070222184002-07'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'ableike', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'title': 'Microsoft Word - Tucson web results.doc'}], 'cse_image': [{'src': 'x-raw-image:///3574ac499ece36602a431755dfc90991a920dd62a26ccbeda6cc8b1ea361a9a3'}]}"	application/pdf	PDF/Adobe Acrobat	nKo4uXT-3moJ
Frontier Days Rodeo, July 19-30. Cheyenne Frontier Days Rodeo ...	http://www.espn.com/i/prorodeo/Cheyenne060726.pdf	www.espn.com	"Bareback Riding: First round leaders: 1. Will Lowe, Canyon, Texas, 84 points; 2. (
tie). Heath Ford, Greeley, Colo., and Bo Casper, Fort Scott, Kan., 83; 4."	www.espn.com/i/prorodeo/Cheyenne060726.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrjzfggRycUPStADdrfRNioCa_ynN56ioLH0KqdyP7RLpzNCQ5DReMhdr', 'width': '388', 'height': '130'}], 'metatags': [{'moddate': ""D:20060727101631-05'00'"", 'creationdate': ""D:20060727090157-06'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'ableike', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'title': 'Microsoft Word - July 26 results.doc'}], 'cse_image': [{'src': 'x-raw-image:///3574ac499ece36602a431755dfc90991a920dd62a26ccbeda6cc8b1ea361a9a3'}]}"	application/pdf	PDF/Adobe Acrobat	0A2D5cWg28IJ
06 WST Thurs Mat Slack AP	http://www.espn.com/i/prorodeo/Hermiston060810a.pdf	www.espn.com	"TIE DOWN ROPING. 1. Brad Goodrich, Hermiston, OR, 8.6; 2. Stran Smith, 
Childess, TX, 8.9; 3. Shane. Erickson, Terrebonne, OR, 9.0; 3. Doug Pharr, 
Resaca ..."	www.espn.com/i/prorodeo/Hermiston060810a.pdf	"{'metatags': [{'moddate': ""D:20060810183450-07'00'"", 'creator': 'TextEdit', 'creationdate': ""D:20060810183450-07'00'"", 'author': 'Mitchell Zachs', 'producer': 'Mac OS X 10.4.7 Quartz PDFContext', 'title': '06 WST Thurs Mat Slack AP'}]}"	application/pdf	PDF/Adobe Acrobat	Ly0btfN-HcoJ
These results are unofficial from the Reno (Nev.) Rodeo, June 16-24.	http://www.espn.com/i/prorodeo/Reno060624.pdf	www.espn.com	"RENO RODEO CHAMPIONS. Bareback – Will Lowe, Canyon, Texas, 253 points, 
$9,406. Steer Wrestling – Lee Graves, Calgary, Alberta, 13.2 seconds, $9,278."	www.espn.com/i/prorodeo/Reno060624.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrjzfggRycUPStADdrfRNioCa_ynN56ioLH0KqdyP7RLpzNCQ5DReMhdr', 'width': '388', 'height': '130'}], 'metatags': [{'moddate': ""D:20060627090538-05'00'"", 'creationdate': ""D:20060626184100-06'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'ableike', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'title': 'Microsoft Word - Reno final results.doc'}], 'cse_image': [{'src': 'x-raw-image:///3574ac499ece36602a431755dfc90991a920dd62a26ccbeda6cc8b1ea361a9a3'}]}"	application/pdf	PDF/Adobe Acrobat	97fe9Kw52qwJ
prca nationalconvention	http://www.espn.com/i/prorodeo/ConSchedule.pdf	www.espn.com	"Nov 5, 2004 ... for three years,during which time he increased ticket sales (including 25 sellouts) 
and increased sponsorship sales 1,650 percent; founder and ..."	www.espn.com/i/prorodeo/ConSchedule.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn3.gstatic.com/images?q=tbn:ANd9GcRtUCgG0-QXOU0ezJWhXIsPwD3G4nFDin6XSto0x2LVWb6N7CJgpsp-c48', 'width': '218', 'height': '231'}], 'metatags': [{'moddate': ""D:20041013143956-07'00'"", 'creator': 'QuarkXPress: pictwpstops filter 1.0', 'creationdate': ""D:20041013143956-07'00'"", 'author': 'amorriso', 'producer': 'Acrobat Distiller 6.0.1 for Macintosh', 'title': 'mailer2'}], 'cse_image': [{'src': 'x-raw-image:///b5feb326ee87311b012a7c38eb2f659259ec60421175437be0780d917dd0df62'}]}"	application/pdf	PDF/Adobe Acrobat	yUD8ChvMRBwJ
These rodeo results are unofficial and this file is a temporary display ...	http://www.espn.com/i/prorodeo/results070212.pdf	www.espn.com	"Feb 16, 2007 ... Bell County Youth Fair, Livestock Show & PRCA Rodeo. Feb. 8-10, Belton, Texas
. Bareback riding: 1. Jerad Schlegel, 84 points on Sammy ..."	www.espn.com/i/prorodeo/results070212.pdf	"{'cse_thumbnail': [{'src': 'https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSNrjzfggRycUPStADdrfRNioCa_ynN56ioLH0KqdyP7RLpzNCQ5DReMhdr', 'width': '388', 'height': '130'}], 'metatags': [{'moddate': ""D:20070216113726-07'00'"", 'creationdate': ""D:20070216113726-07'00'"", 'creator': 'PScript5.dll Version 5.2.2', 'author': 'ableike', 'producer': 'Acrobat Distiller 6.0 (Windows)', 'title': 'Microsoft Word - Feb. 12 results.doc'}], 'cse_image': [{'src': 'x-raw-image:///3574ac499ece36602a431755dfc90991a920dd62a26ccbeda6cc8b1ea361a9a3'}]}"	application/pdf	PDF/Adobe Acrobat	w5hmD301dDQJ
